Pincode,Place_Name,Population
380001,Ahmedabad G.P.O.,247464
380002,Revdibazar,92050
380004,Shahibag,181169
380009,Navrangpura,168147
380007,Narayannagar,232624
380008,Daxini Society,180239
380009,Navrangpura,168147
380013,Stadium Marg,212157
380014,Navjivan,39986
380015,Manekbag,341107
380016,Asarwa Chakla,89780
380018,Saraspur,68623
380019,D Cabin,39308
380021,Gomtipur,51791
380022,Gita Mandir Road,73621
380023,Rakhial,63389
380024,Bapunagar,93117
380026,Amraiwadi,355669
380028,Bhairavnath Road,114620
380049,Nikol,82465
380050,Ghodasar (Ahmedabad),112226
380051,Jivraj Park,190503
380052,Memnagar,150734
380054,Bodakdev,150167
380055,Juhapura,152517
380058,Bopal,211995
380059,Thaltej,84700
380060,Gujrat High Court,259958
380061,Ghatlodia,189260
380063,Sola H B C,41028
382210,Sarkhej,146731
382340,Kubernagar B A,102850
382345,N C Mills,290986
382330,Naroda I E,249375
382405,Narol,219859
382418,Vastral,2227
382421,Adalaj,59052
382426,Koba,5732
382425,Bareja (Ahmedabad),18623
382427,Aslali,26300
382428,Bhat,32279
382433,Kuha,28330
382435,Nandej,23283
382440,Vatva,113177
382443,Isanpur,98734
382449,Jantanagar,103353
382445,Vatva Industrial Estate,233345
382424,Chandkheda Society Area,161139
382455,Dholera,55279
382450,Barwala Ghelasha,57132
382475,Sardarnagar,12390
382470,Digvijaynagar,87828
382480,Ranip,69239
382481,Chandlodia,125782
382250,Polarpur,22739
388001,Anand,92163
388110,Anand Agri Inst (Anand),32539
388120,Vallabh Vidyanagar,54374
388315,Bakrol,46939
388320,Chikhodra,35855
388325,Karamsad,44457
388340,Mogar,27082
388345,Mogri,38951
388370,Vadod,19326
388307,Kantharia,64316
388335,Kunjrav,31216
388330,Khambholej,15683
388440,Mahelav,38670
394101,Mota Varachha,73320
394130,Sayan,22451
394190,Kholvad,2983
394150,Kathor,34389
394107,Amroli,81215
394170,Tadkeshwar,54637
394710,Ahwadangs,124807
394110,Kim,101287
394510,Bhatha,392657
394210,Udhnagam,323645
394180,Kamrej,40448
394120,Kosamba Bazar,32205
394160,Mandvi SR,50734
394516,Adityanagar,822847
394163,Godsamba,139736
394155,Ghala,21223
394125,Hathuran,26822
394518,Ongc Nagar,39566
394355,Varad,53100
396510,Anaval,37631
395010,Parvat Patia,206760
395004,Katargam,279131
395005,Rander,129056
395017,Althan,45542
395001,Nanpura,84398
395009,Ramnagar (Surat),246135
395011,Puna Kumbharia,43760
395012,Limbayat,103587
395003,Surat,151154
395023,Bhestan,106790
382016,(Gandhinagar) Sector 17,22776
382024,(Gandhinagar) Sector 23,2577
382028,(Gandhinagar) Sector 28,20231
382030,(Gandhinagar) Sector 29,4118
382006,(Gandhinagar) Sector 6,4550
382007,(Gandhinagar) Sector 9,19672
382640,Sardhav,11464
382810,Charada,78666
382721,Kalol,197544
382845,Mansa Bazar,173164
382735,Nardipur,58241
382305,Dehgam,97792
382855,Pundhara,18788
382308,Bahiyal,61815
382355,Dabhoda,74045
382422,Uvarsad,21234
382045,BSF GANDHINAGAR,1441
382620,Randheja,5686
382320,Sadra,23789
382321,Chhala,33652
110001,Sansad Marg,250430
110002,Indraprastha,180479
110040,Narela,280240
110090,Karawal Nagar,322607
110009,Nirankari Colony,253982
110004,Rashtrapati Bhawan,8846
110060,Rajender Nagar,70636
110080,Sangam Vihar,150288
110006,Delhi G.P.O.,290768
110003,Lodi Road,187073
110005,Karol Bagh,251105
110007,Roop Nagar,303212
110030,T B Hospital,250930
110020,Okhla Industrial Estate,202963
110008,Dada Ghosh Bhawan,135630
110010,COD (South West Delhi),249268
110050,Safdarjung Sorting Delivery Office,5654
110100,Foreign Post Delhi IBC,5604
110070,Vasant Kunj Pkt-A,249923
110012,I.A.R.I.,60769
110019,Kalkaji,244763
110011,South Avenue,47159
110067,J.N.U.,51084
110017,Panchsheel Enclave,236041
110081,Kanjhawla,445705
110088,Haiderpur,217777
110084,Wazirabad Village,357432
400001,Mumbai G.P.O.,133622
360001,Rajkot,175548
360004,Rajkot Postal Colony,231641
360007,Rajkot Raiya Road,196370
360002,Rajkot Manahar Plot,34254
360003,Rajkot Marketing Yard,532340
